,YearsSinceLastPromotion,YEARSWITHCURRMANAGER,DateBirth,RemoteWork
0,15,15,1972,yes
1,11,9,1971,yes
2,11,15,1981,yes
3,5,6,1976,no
4,2,8,1977,no
5,4,7,1975,yes
6,7,9,1964,yes
7,11,6,1981,no
8,11,8,1982,yes
9,0,11,1982,no
10,5,10,1982,no
11,15,9,1967,no
12,1,11,1985,yes
13,15,8,1982,no
14,2,15,1968,yes
15,1,12,1983,no
16,13,8,1965,no
17,15,9,1977,no
18,1,10,1988,no
19,14,12,1983,yes
20,14,4,1978,no
21,8,12,1990,yes
22,12,8,1987,yes
23,3,0,1976,no
24,4,11,1987,yes
25,5,15,1988,no
26,6,9,1971,yes
27,5,12,1987,no
28,5,7,1990,yes
29,0,7,1989,yes
30,13,5,1982,yes
31,12,11,1976,yes
32,4,8,1970,yes
33,2,8,1988,no
34,2,10,1989,yes
35,15,7,1977,yes
36,1,9,1980,yes
37,10,11,1987,yes
38,13,11,1963,yes
39,1,12,1983,no
40,6,8,1991,no
41,2,17,1982,yes
42,15,2,1970,no
43,15,14,1987,yes
44,1,7,1977,no
45,5,8,1985,yes
46,12,8,1972,yes
47,4,12,1980,yes
48,5,7,1986,yes
49,11,9,1991,yes
50,5,11,1985,no
51,5,1,1977,yes
52,6,0,1988,no
53,6,14,1980,yes
54,1,9,1967,yes
55,11,11,1987,yes
56,1,9,1985,yes
57,5,11,1974,no
58,5,9,1984,yes
59,2,11,1983,yes
60,3,7,1987,yes
61,10,7,1986,no
62,11,8,1988,yes
63,4,7,1990,no
64,1,5,1973,no
65,4,8,1975,yes
66,11,11,1979,yes
67,13,17,1979,yes
68,11,8,1983,yes
69,4,11,1989,yes
70,2,9,1988,yes
71,1,11,1973,no
72,2,12,1974,yes
73,2,9,1985,yes
74,2,13,1990,yes
75,14,10,1976,yes
76,0,7,1985,no
77,6,8,1986,yes
78,10,8,1993,yes
79,1,8,1965,yes
80,5,8,1989,no
81,15,6,1965,yes
82,5,13,1985,yes
83,4,1,1994,yes
84,4,13,1968,yes
85,0,4,1982,yes
86,3,7,1984,no
87,2,9,1985,yes
88,3,9,1980,yes
89,3,12,1992,yes
90,15,7,1973,yes
91,4,8,1988,no
92,2,7,1976,yes
93,10,1,1988,yes
94,11,1,1983,yes
95,4,12,1978,no
96,4,10,1990,no
97,0,7,1987,no
98,1,11,1978,yes
99,11,10,1972,no
100,5,7,1989,no
101,6,11,1980,yes
102,4,13,1989,no
103,3,8,1985,yes
104,12,9,1975,no
105,6,11,1989,no
106,5,7,1991,yes
107,8,8,1994,no
108,9,5,1977,no
109,4,7,1993,no
110,0,15,1978,yes
111,7,4,1993,yes
112,6,10,1993,yes
113,1,9,1989,no
114,4,7,1972,no
115,5,9,1989,yes
116,6,9,1988,yes
117,9,11,1978,yes
118,11,10,1984,yes
119,8,9,1992,no
120,13,3,1984,yes
121,9,8,1978,yes
122,1,2,1993,yes
123,4,10,1992,no
124,1,12,1987,yes
125,9,0,1987,yes
126,7,7,1968,yes
127,6,9,1988,yes
128,5,8,1981,no
129,6,9,1971,yes
130,0,9,1974,yes
131,8,8,1989,yes
132,7,8,1990,no
133,3,7,1990,yes
134,3,8,1970,yes
135,1,7,1974,no
136,0,8,1988,no
137,1,9,1985,no
138,4,9,1977,no
139,0,9,1987,no
140,13,14,1981,yes
141,4,9,1989,yes
142,5,7,1993,yes
143,0,9,1969,yes
144,1,8,1992,no
145,3,10,1979,yes
146,15,0,1968,no
147,14,13,1979,no
148,1,8,1989,yes
149,15,2,1984,no
150,9,11,1968,yes
151,0,10,1972,yes
152,5,9,1965,yes
153,0,8,1975,yes
154,0,9,1994,no
155,3,12,1989,yes
156,5,8,1981,yes
157,2,8,1966,yes
158,10,10,1989,no
159,1,12,1969,yes
160,8,6,1989,no
161,1,5,1994,yes
162,6,8,1988,yes
163,6,7,1988,yes
164,8,7,1989,yes
165,8,8,1980,no
166,14,14,1965,yes
167,1,7,1987,no
168,0,9,1980,yes
169,1,4,1968,yes
170,3,7,1981,yes
171,9,4,1983,yes
172,9,8,1967,yes
173,9,6,1984,yes
174,3,7,1970,yes
175,1,7,1996,no
176,3,7,1993,yes
177,1,8,1988,yes
178,7,8,1991,yes
179,3,0,1993,no
180,4,7,1977,no
181,2,7,1993,no
182,5,7,1991,yes
183,0,6,1988,no
184,3,7,1991,yes
185,1,8,1982,yes
186,9,9,1983,no
187,11,8,1978,yes
188,9,8,1991,no
189,5,8,1993,yes
190,0,7,1986,yes
191,5,8,1986,no
192,4,7,1983,no
193,0,8,1987,yes
194,4,8,1991,yes
195,0,1,1985,yes
196,1,9,1993,yes
197,1,6,1984,yes
198,11,10,1963,yes
199,7,8,1993,yes
200,0,8,1992,yes
201,9,7,1990,no
202,3,8,1973,yes
203,4,7,1991,yes
204,7,8,1981,yes
205,7,7,1974,no
206,0,8,1996,yes
207,0,8,1990,yes
208,0,0,1971,no
209,5,3,1991,yes
210,4,11,1987,no
211,0,0,1992,no
212,3,9,1987,yes
213,7,8,1971,yes
214,6,0,1990,no
215,0,8,1978,yes
216,7,8,1987,yes
217,2,3,1974,no
218,3,10,1994,yes
219,0,8,1994,no
220,3,11,1986,yes
221,0,8,1990,yes
222,5,10,1989,yes
223,7,5,1995,yes
224,9,6,1992,yes
225,2,10,1981,no
226,8,8,1983,yes
227,9,6,1989,yes
228,1,5,1965,no
229,4,7,1992,yes
230,4,8,1983,yes
231,8,8,1970,yes
232,6,9,1989,yes
233,3,3,1988,yes
234,3,7,1986,yes
235,13,9,1981,yes
236,7,7,1978,yes
237,6,7,1993,yes
238,7,7,1985,yes
239,12,13,1973,no
240,0,7,1984,yes
241,7,9,1989,yes
242,4,7,1969,yes
243,8,7,1982,no
244,5,8,1984,yes
245,12,8,1983,no
246,1,7,1990,yes
247,5,7,1987,no
248,7,6,1990,yes
249,4,8,1989,no
250,3,10,1994,no
251,4,7,1977,yes
252,5,8,1996,no
253,0,2,1992,no
254,3,8,1978,yes
255,2,1,1989,no
256,8,7,1992,yes
257,0,9,1988,no
258,11,10,1984,no
259,5,10,1983,yes
260,1,7,1993,no
261,5,12,1976,yes
262,0,0,1971,yes
263,1,7,1974,yes
264,3,0,1990,yes
265,3,6,1991,yes
266,1,8,1985,yes
267,7,7,1987,yes
268,4,2,1981,no
269,1,7,1992,no
270,1,8,1992,no
271,1,0,1972,yes
272,0,6,1989,yes
273,2,8,1987,no
274,0,9,1993,no
275,0,7,1990,yes
276,7,7,1992,no
277,0,7,1982,no
278,5,7,1997,yes
279,0,7,1991,yes
280,2,13,1983,no
281,4,5,1970,yes
282,0,9,1994,no
283,7,2,1987,yes
284,1,6,1990,yes
285,1,0,1972,no
286,0,3,1996,no
287,1,7,1986,yes
288,1,7,1985,yes
289,1,7,1974,no
290,0,7,1996,no
291,12,8,1978,yes
292,0,8,1988,yes
293,1,7,1990,yes
294,15,12,1971,yes
295,3,9,1983,yes
296,7,5,1985,yes
297,7,7,1977,no
298,4,10,1978,yes
299,9,9,1976,yes
300,6,2,1988,no
301,0,9,1994,yes
302,0,8,1968,yes
303,7,4,1997,yes
304,7,7,1992,yes
305,1,7,1980,yes
306,1,7,1992,yes
307,0,7,1991,yes
308,0,1,1990,no
309,0,0,1980,no
310,0,7,1994,no
311,0,7,1996,no
312,1,7,1994,no
313,6,7,1986,no
314,7,7,1997,yes
315,1,7,1983,yes
316,7,7,1982,no
317,0,7,1972,yes
318,12,17,1986,no
319,7,7,1967,yes
320,0,7,1982,yes
321,0,8,1977,no
322,6,7,1993,no
323,0,0,1988,no
324,6,7,1975,yes
325,3,7,1978,yes
326,1,0,1997,yes
327,0,7,1982,yes
328,5,7,1989,yes
329,5,7,1992,yes
330,4,7,1980,no
331,8,10,1970,no
332,7,8,1986,yes
333,7,1,1969,yes
334,0,5,1985,yes
335,2,8,1994,yes
336,7,7,1989,no
337,11,10,1984,no
338,0,8,1991,yes
339,1,8,1985,yes
340,0,7,1996,no
341,7,7,1991,no
342,1,7,1976,no
343,1,7,1996,yes
344,2,10,1982,no
345,3,7,1995,yes
346,0,5,1987,no
347,7,7,1993,yes
348,1,1,1967,no
349,3,1,1978,yes
350,0,9,1987,no
351,1,1,1994,yes
352,4,12,1985,yes
353,3,7,1983,yes
354,14,9,1981,yes
355,0,5,1987,no
356,0,7,1994,yes
357,7,3,1968,no
358,7,5,1995,yes
359,1,7,1997,yes
360,7,1,1979,yes
361,1,0,1982,yes
362,5,2,1992,no
363,0,7,1997,yes
364,8,5,1992,no
365,6,3,1991,no
366,3,7,1987,no
367,0,8,1978,yes
368,0,7,1984,no
369,0,7,1987,yes
370,0,7,1977,no
371,0,8,1969,yes
372,1,7,1993,yes
373,1,3,1997,no
374,6,7,1968,yes
375,0,13,1973,yes
376,7,7,1991,yes
377,6,12,1970,yes
378,7,5,1983,no
379,6,2,1968,yes
380,1,9,1995,no
381,1,7,1995,yes
382,4,7,1988,yes
383,3,8,1990,yes
384,5,6,1998,yes
385,2,7,1985,yes
386,1,7,1995,yes
387,0,1,1980,no
388,11,5,1984,no
389,4,9,1983,yes
390,1,2,1994,yes
391,2,13,1983,no
392,0,7,1997,yes
393,6,4,1988,yes
394,4,7,1970,no
395,1,7,1988,yes
396,0,1,1990,yes
397,1,7,1987,yes
398,8,9,1993,yes
399,1,9,1963,yes
400,0,7,1991,no
401,7,7,1987,yes
402,6,8,1996,yes
403,0,7,1980,yes
404,1,7,1994,yes
405,5,4,1964,no
406,15,17,1980,yes
407,0,5,1979,yes
408,7,7,1994,yes
409,0,8,1991,no
410,1,7,1987,yes
411,7,7,1971,yes
412,1,7,1984,yes
413,1,6,1989,yes
414,1,7,1985,yes
415,6,13,1987,yes
416,0,0,1988,no
417,3,8,1968,yes
418,7,7,1989,no
419,1,8,1980,no
420,0,9,1981,no
421,0,7,1997,yes
422,7,7,1994,yes
423,12,7,1969,no
424,0,0,1968,yes
425,0,7,1983,yes
426,9,9,1992,yes
427,4,3,1977,yes
428,0,7,1978,no
429,0,7,1974,no
430,0,4,1994,yes
431,0,7,1994,yes
432,0,7,1994,yes
433,7,7,1983,yes
434,7,7,1975,yes
435,1,9,1970,yes
436,1,10,1979,no
437,1,4,1978,no
438,4,5,1978,no
439,7,2,1989,yes
440,7,7,1984,no
441,0,7,1996,yes
442,3,9,1978,yes
443,0,2,1979,yes
444,0,7,1998,no
445,0,0,1974,yes
446,7,7,1975,no
447,5,7,1997,yes
448,6,7,1979,yes
449,6,7,1987,yes
450,0,9,1977,yes
451,0,7,1988,yes
452,0,7,1993,no
453,1,7,1993,yes
454,1,7,1990,yes
455,0,7,1991,yes
456,1,8,1980,no
457,5,7,1992,yes
458,7,7,1988,no
459,1,7,1988,no
460,0,2,1993,no
461,3,7,1977,no
462,5,7,1978,no
463,7,7,1980,no
464,0,7,1977,yes
465,11,16,1983,yes
466,0,7,1996,no
467,5,7,1981,yes
468,7,7,1997,yes
469,0,7,1995,yes
470,1,7,1976,no
471,1,1,1989,yes
472,7,6,1997,yes
473,0,7,1996,no
474,0,8,1992,yes
475,2,8,1990,yes
476,4,8,1992,yes
477,0,8,1988,yes
478,8,1,1990,yes
479,1,7,1984,no
480,3,4,1987,yes
481,0,10,1982,yes
482,1,7,1989,no
483,1,9,1985,yes
484,1,7,1984,yes
485,2,11,1989,no
486,5,17,1979,yes
487,0,8,1977,yes
488,7,7,1982,no
489,11,8,1984,no
490,7,8,1981,yes
491,8,8,1990,yes
492,0,13,1988,yes
493,7,7,1990,yes
494,5,13,1983,no
495,12,6,1982,no
496,0,7,1996,no
497,1,16,1971,yes
498,4,17,1972,no
499,7,7,1976,yes
500,14,7,1973,no
501,0,7,1988,yes
502,11,8,1984,yes
503,2,8,1984,no
504,0,8,1982,no
505,3,6,1979,yes
506,13,7,1981,no
507,4,0,1971,yes
508,5,0,1985,yes
509,5,7,1977,yes
510,1,1,1988,no
511,1,7,1995,yes
512,14,17,1979,yes
513,13,9,1973,no
514,2,13,1968,yes
515,7,6,1984,yes
516,1,4,1974,yes
517,8,6,1978,no
518,0,3,1977,no
519,7,3,1996,no
520,4,14,1981,yes
521,0,8,1974,yes
522,0,8,1994,yes
523,8,7,1989,no
524,0,7,1986,no
525,0,3,1987,yes
526,0,3,1978,yes
527,1,5,1994,no
528,1,4,1997,no
529,0,7,1995,yes
530,0,4,1981,yes
531,0,5,1992,yes
532,1,2,1986,yes
533,7,7,1986,no
534,4,3,1986,no
535,1,4,1999,yes
536,10,7,1973,no
537,1,3,1989,yes
538,0,4,1996,no
539,1,4,1998,no
540,1,4,1989,yes
541,1,3,1989,yes
542,1,6,1988,no
543,1,1,1988,no
544,1,2,1990,yes
545,1,7,1994,no
546,1,1,1994,yes
547,1,3,1989,no
548,3,3,1995,no
549,7,7,1979,no
550,0,1,1992,no
551,2,2,1997,no
552,1,2,1976,yes
553,1,3,1986,no
554,1,2,1991,yes
555,1,6,1991,yes
556,1,2,1990,no
557,14,10,1976,yes
558,0,5,1982,no
559,0,3,1988,no
560,0,4,1994,no
561,0,9,1991,yes
562,0,4,1988,no
563,0,2,1967,yes
564,0,4,1995,yes
565,0,3,1998,yes
566,4,3,1967,yes
567,4,3,1997,no
568,0,4,1991,no
569,0,4,1993,yes
570,4,4,1973,no
571,1,4,1991,no
572,0,3,1978,no
573,2,2,1980,yes
574,1,9,1994,yes
575,1,4,1992,yes
576,0,4,1990,no
577,1,4,1992,yes
578,0,1,1986,yes
579,1,6,1973,no
580,4,8,1981,yes
581,0,4,1996,yes
582,1,4,1996,yes
583,1,2,1982,yes
584,0,3,1986,yes
585,1,0,1983,yes
586,1,2,1968,no
587,0,4,1997,yes
588,1,3,1983,yes
589,1,3,1998,no
590,4,4,1993,yes
591,0,4,1971,no
592,0,2,1981,no
593,0,2,1993,yes
594,4,3,1988,no
595,0,1,1992,yes
596,0,3,1988,yes
597,0,6,1998,yes
598,0,5,1991,no
599,1,3,1976,no
600,0,3,1993,yes
601,0,2,1978,no
602,0,3,1987,yes
603,0,2,1992,yes
604,0,0,1986,no
605,0,4,1984,no
606,0,3,1981,yes
607,7,7,1993,no
608,1,3,1973,yes
609,0,4,1964,yes
610,7,0,1969,yes
611,0,3,1967,no
612,2,1,1975,yes
613,0,3,1984,no
614,1,4,1988,yes
615,1,5,1981,no
616,0,2,1979,no
617,1,3,1994,no
618,1,4,1990,yes
619,1,4,1969,no
620,0,8,1977,yes
621,1,7,1993,yes
622,1,1,1991,yes
623,1,0,1983,yes
624,0,0,1989,yes
625,1,4,1984,no
626,1,3,1986,no
627,1,2,1990,yes
628,0,5,1984,no
629,0,4,1971,yes
630,0,1,1987,yes
631,1,8,1987,yes
632,0,3,1999,yes
633,0,2,1989,no
634,1,3,1995,yes
635,0,2,1990,yes
636,1,2,1976,yes
637,1,0,1983,no
638,0,3,1978,yes
639,7,1,1983,yes
640,1,3,1994,yes
641,1,2,1983,yes
642,0,2,1980,no
643,1,1,1993,yes
644,0,2,1985,yes
645,7,7,1986,no
646,1,0,1984,yes
647,0,4,1987,yes
648,1,2,2000,yes
649,1,4,1988,yes
650,1,4,1992,yes
651,0,4,1985,yes
652,0,3,1988,yes
653,7,7,1983,yes
654,0,2,1996,yes
655,1,4,1982,yes
656,0,9,1990,no
657,4,3,1974,no
658,0,2,1987,yes
659,0,4,1982,no
660,0,4,1994,yes
661,1,7,1992,yes
662,0,3,1987,no
663,1,4,1980,no
664,1,3,1990,no
665,1,3,1979,no
666,9,9,1985,yes
