,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating
0,,19537.0,6462,7,no,13.0,3.0
1,,19999.0,5678,0,,14.0,3.0
2,married,19232.0,4933,1,no,11.0,3.0
3,married,17169.0,26703,3,,19.0,3.0
4,divorced,,7739,2,no,12.0,3.0
5,,17174.0,2437,3,no,11.0,3.0
6,,,2354,7,,11.0,3.0
7,married,,24532,1,no,25.0,4.0
8,married,16595.0,5626,7,no,16.0,3.0
9,,,3735,2,no,17.0,3.0
10,,19973.0,20284,1,no,22.0,4.0
11,married,13402.0,18235,4,yes,12.0,
12,married,13206.0,3376,3,no,12.0,3.0
13,married,19545.0,16280,1,no,12.0,3.0
14,single,,13339,8,no,11.0,3.0
15,,18041.0,13022,0,no,14.0,3.0
16,single,19246.0,25761,7,yes,12.0,3.0
17,,,24097,8,,23.0,4.0
18,married,,26312,1,,11.0,3.0
19,,,25800,1,,13.0,3.0
20,,10748.0,3395,3,,23.0,4.0
21,single,,15146,1,yes,12.0,3.0
22,divorced,,8202,1,,13.0,
23,married,16752.0,12982,1,,11.0,3.0
24,,6201.0,2823,1,,14.0,3.0
25,married,,23457,1,yes,20.0,4.0
26,married,19845.0,25846,1,no,15.0,3.0
27,single,,2323,9,yes,11.0,3.0
28,married,,22949,1,,12.0,3.0
29,,4001.0,12313,1,yes,14.0,3.0
30,divorced,10447.0,26458,0,,13.0,3.0
31,,,13084,2,,23.0,4.0
32,,,10735,4,,11.0,3.0
33,single,,23016,0,no,14.0,
34,single,,12482,1,,14.0,3.0
35,divorced,,2137,1,no,25.0,4.0
36,married,16064.0,7744,5,,22.0,4.0
37,married,3210.0,20251,0,,11.0,3.0
38,married,10266.0,2845,4,no,19.0,3.0
39,married,10475.0,23772,5,yes,21.0,4.0
40,married,6162.0,19124,1,no,12.0,3.0
41,single,4721.0,3119,2,yes,13.0,
42,divorced,,13938,6,no,13.0,3.0
43,single,,8269,1,,16.0,3.0
44,divorced,4615.0,21029,8,yes,23.0,4.0
45,married,,7636,0,no,15.0,3.0
46,single,,25796,3,,20.0,4.0
47,married,16959.0,19494,1,yes,12.0,3.0
48,single,,15881,1,no,12.0,3.0
49,married,,24624,1,yes,11.0,3.0
50,married,,16292,1,,13.0,3.0
51,,,11380,8,no,12.0,3.0
52,married,10306.0,21530,9,,17.0,3.0
53,married,,22539,7,no,13.0,3.0
54,divorced,,26236,1,no,21.0,
55,divorced,5406.0,10436,1,no,24.0,4.0
56,,,15717,7,,12.0,3.0
57,,,5549,1,no,14.0,3.0
58,married,5902.0,14590,4,,14.0,3.0
59,married,10855.0,8552,7,no,11.0,
60,single,5914.0,9945,8,no,16.0,3.0
61,married,,23866,3,yes,15.0,3.0
62,,6646.0,19368,1,,13.0,3.0
63,divorced,,5335,3,no,23.0,4.0
64,married,13973.0,4161,3,yes,18.0,3.0
65,single,,22245,7,,14.0,
66,married,13320.0,11737,3,,18.0,3.0
67,single,,7744,1,,25.0,4.0
68,,,13888,5,no,20.0,4.0
69,single,6687.0,6163,1,,11.0,3.0
70,,,12250,1,,12.0,3.0
71,,,21981,5,no,15.0,3.0
72,,,11652,2,,19.0,3.0
73,,4735.0,9867,7,no,15.0,3.0
74,,,13637,1,no,18.0,3.0
75,divorced,,19271,8,yes,12.0,
76,divorced,,18115,1,,16.0,3.0
77,,,15471,1,yes,25.0,4.0
78,married,,15830,1,no,19.0,
79,single,13872.0,24409,0,,13.0,3.0
80,single,,5615,2,,12.0,3.0
81,married,,3465,1,,12.0,3.0
82,divorced,,9647,0,,12.0,3.0
83,married,,6599,1,,14.0,3.0
84,single,19045.0,18938,0,,14.0,3.0
85,,16015.0,15896,1,,19.0,3.0
86,,9613.0,10942,0,no,17.0,
87,,11510.0,15682,0,,14.0,3.0
88,,,4345,1,no,11.0,3.0
89,married,4306.0,4156,1,no,12.0,3.0
90,married,17046.0,9314,0,no,15.0,3.0
91,married,,9129,3,no,16.0,
92,,5067.0,6759,1,yes,19.0,3.0
93,divorced,,6975,1,yes,11.0,
94,married,,26542,4,,20.0,4.0
95,married,,17970,1,,13.0,3.0
96,married,,6311,0,,13.0,3.0
97,married,3692.0,9256,1,no,12.0,3.0
98,,,2493,2,yes,16.0,3.0
99,,19847.0,19196,4,yes,24.0,
100,,2308.0,4944,0,yes,25.0,4.0
101,,,3525,1,no,24.0,4.0
102,,,11912,1,no,14.0,3.0
103,divorced,,7129,5,no,13.0,3.0
104,,,13583,4,no,12.0,3.0
105,married,5747.0,26496,1,yes,15.0,3.0
106,,10422.0,24032,1,no,19.0,3.0
107,divorced,,10195,1,no,11.0,3.0
108,married,,3142,2,yes,13.0,3.0
109,married,6347.0,13982,0,yes,19.0,3.0
110,,2348.0,10901,8,no,18.0,3.0
111,,,8053,2,no,12.0,3.0
112,,3072.0,11012,1,no,11.0,
113,married,,14074,1,,17.0,3.0
114,married,12490.0,15736,5,no,16.0,3.0
115,,,23687,6,,13.0,3.0
116,married,8020.0,5100,0,,15.0,3.0
117,,,20308,1,,18.0,3.0
118,married,17068.0,5355,1,,14.0,
119,married,8943.0,14034,1,no,24.0,4.0
120,married,19272.0,21141,1,,15.0,3.0
121,,,9278,9,no,14.0,3.0
122,,,5431,1,,13.0,3.0
123,,,25713,1,,14.0,3.0
124,married,,7246,4,no,11.0,3.0
125,married,,3809,1,,13.0,3.0
126,single,,9873,3,no,23.0,4.0
127,,,18659,9,,11.0,3.0
