,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField
0,51,No,,684.0,,6,3,
1,52,No,,699.0,,1,4,life sciences
2,42,No,travel_rarely,532.0, research & development ,4,2,technical degree
3,47,No,travel_rarely,359.0,,2,4,medical
4,46,No,,1319.0,,3,3,technical degree
5,48,No,,117.0, research & development ,22,3,medical
6,59,No,,1435.0,,25,3,life sciences
7,42,No,travel_rarely,635.0,,1,1,
8,41,No,,1276.0,,2,5,
9,41,No,travel_frequently,840.0,,9,3,
10,41,No,non-travel,247.0,,7,1,
11,56,No,travel_rarely,1369.0,,23,3,life sciences
12,38,No,,201.0,,10,3,medical
13,41,Yes,travel_rarely,1360.0,,12,3,
14,55,No,,692.0,,14,4,medical
15,40,No,travel_rarely,1398.0,,2,4,
16,58,Yes,travel_rarely,286.0,,2,4,
17,46,No,travel_rarely,1402.0,,2,3,
18,35,No,,819.0,,13,5,life sciences
19,40,No,travel_rarely,884.0,,15,3,life sciences
20,45,No,non-travel,1238.0, research & development ,1,1,
21,33,No,,515.0,,1,2,life sciences
22,36,No,,1223.0,,8,3,
23,47,No,,202.0,,2,2,other
24,36,No,travel_rarely,928.0,,42,2,life sciences
25,35,No,,607.0,,9,3,life sciences
26,52,Yes,,266.0,,2,1,
27,36,No,,429.0,,2,4,life sciences
28,33,No,travel_rarely,589.0,,28,4,life sciences
29,34,No,non-travel,, sales ,10,3,life sciences
30,41,No,,, sales ,37,1,
31,47,No,,1180.0, research & development ,25,3,medical
32,53,No,travel_rarely,1282.0,,5,3,
33,35,No,,776.0,,1,4,marketing
34,34,No,travel_rarely,665.0,,6,4,other
35,46,No,travel_rarely,526.0,,1,2,
36,43,No,,1034.0,,16,3,
37,36,No,,1403.0, research & development ,6,3,life sciences
38,60,No,travel_frequently,1499.0,,28,3,
39,40,No,travel_frequently,580.0,,5,4,
40,32,No,travel_rarely,859.0,,4,3,
41,41,No,travel_rarely,263.0,,35,3,
42,53,No,,1376.0,,2,2,medical
43,36,Yes,travel_rarely,885.0,,16,4,
44,46,No,,1003.0,,8,4,life sciences
45,38,No,travel_rarely,1321.0,,1,4,
46,51,No,,,,1,4,
47,43,No,,394.0,,26,2,
48,37,No,,1372.0,,1,3,life sciences
49,32,No,travel_rarely,,,8,2,technical degree
50,38,No,,1333.0,,1,3,
51,46,No,,228.0,,3,3,life sciences
52,35,Yes,travel_rarely,737.0,,10,3,medical
53,43,No,,823.0,,6,3,medical
54,56,No,non-travel,667.0,,1,4,life sciences
55,36,No,non-travel,301.0,,15,4,marketing
56,38,No,,573.0,,6,3,medical
57,49,No,,,,26,4,medical
58,39,No,travel_rarely,1329.0,,4,4,life sciences
59,40,No,,630.0,,4,4,
60,36,No,,,,5,2,
61,37,No,,1063.0,,25,5,
62,35,No,,1017.0,,6,4,
63,33,No,travel_frequently,1296.0,,6,3,life sciences
64,50,No,travel_rarely,939.0, research & development ,24,3,
65,48,No,travel_rarely,1355.0,,4,4,
66,44,No,travel_rarely,1448.0, sales ,28,3,
67,44,No,travel_rarely,200.0,,29,4,
68,40,No,,1202.0,,25,1,
69,34,No,travel_rarely,404.0,,2,4,
70,35,No,non-travel,208.0, research & development ,8,4,
71,50,No,,813.0,,17,5,life sciences
72,49,No,,465.0,,6,1,life sciences
73,38,No,travel_frequently,1189.0,,1,3,life sciences
74,33,No,,,,21,3,
