,Age,Attrition,Businesstravel,Dailyrate,Department,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyincome,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Standardhours,Stockoptionlevel,Totalworkingyears,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearsincurrentrole,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework
0,51,No,,684.0,,6,3,,162.0,1.0,H,51.0,3.0,5.0, research director ,3.0,,19537.0,6462,7,no,13.0,3.0,3.0,,0.0,,5.0,3.0,20.0,,15,15,1972,yes
1,52,No,,699.0,,1,4,life sciences,259.0,3.0,H,65.0,2.0,5.0, manager ,3.0,,19999.0,5678,0,,14.0,3.0,1.0,,1.0,34.0,5.0,3.0,33.0,,11,9,1971,yes
2,42,No,travel_rarely,532.0, research & development ,4,2,technical degree,319.0,3.0,H,58.0,3.0,5.0, manager ,4.0,married,19232.0,4933,1,no,11.0,3.0,4.0,,0.0,22.0,3.0,,22.0,,11,15,1981,yes
3,47,No,travel_rarely,359.0,,2,4,medical,,1.0,M,82.0,3.0,4.0, research director ,3.0,married,17169.0,26703,3,,19.0,3.0,2.0,,2.0,,2.0,,20.0,,5,6,1976,no
4,46,No,,1319.0,,3,3,technical degree,,1.0,M,45.0,4.0,4.0, sales executive ,1.0,divorced,,7739,2,no,12.0,3.0,4.0,,1.0,,5.0,3.0,19.0,,2,8,1977,no
5,48,No,,117.0, research & development ,22,3,medical,1900.0,4.0,M,58.0,3.0,4.0, manager ,4.0,,17174.0,2437,3,no,11.0,3.0,2.0,,1.0,,3.0,3.0,22.0,,4,7,1975,yes
6,59,No,,1435.0,,25,3,life sciences,81.0,1.0,M,99.0,3.0,3.0, sales executive ,1.0,,,2354,7,,11.0,3.0,4.0,,0.0,28.0,3.0,2.0,21.0,,7,9,1964,yes
7,42,No,travel_rarely,635.0,,1,1,,387.0,2.0,H,99.0,3.0,2.0, sales executive ,3.0,married,,24532,1,no,25.0,4.0,3.0,,0.0,20.0,3.0,3.0,20.0,,11,6,1981,no
8,41,No,,1276.0,,2,5,,,2.0,M,91.0,3.0,4.0, manager ,1.0,married,16595.0,5626,7,no,16.0,3.0,2.0,,1.0,22.0,2.0,3.0,18.0,,11,8,1982,yes
9,41,No,travel_frequently,840.0,,9,3,,999.0,1.0,H,64.0,3.0,5.0, research director ,3.0,,,3735,2,no,17.0,3.0,2.0,,1.0,21.0,2.0,4.0,18.0,,0,11,1982,no
10,41,No,non-travel,247.0,,7,1,,1035.0,2.0,M,55.0,1.0,5.0, research director ,3.0,,19973.0,20284,1,no,22.0,4.0,2.0,,2.0,,3.0,3.0,21.0,,5,10,1982,no
11,56,No,travel_rarely,1369.0,,23,3,life sciences,,4.0,H,68.0,3.0,4.0, manufacturing director ,2.0,married,13402.0,18235,4,yes,12.0,,1.0,,1.0,33.0,0.0,3.0,19.0,,15,9,1967,no
12,38,No,,201.0,,10,3,medical,,2.0,M,99.0,1.0,3.0, research director ,3.0,married,13206.0,3376,3,no,12.0,3.0,1.0,,1.0,,3.0,3.0,18.0,,1,11,1985,yes
13,41,Yes,travel_rarely,1360.0,,12,3,,58.0,2.0,M,49.0,3.0,5.0, research director ,3.0,married,19545.0,16280,1,no,12.0,3.0,4.0,,0.0,,0.0,3.0,22.0,,15,8,1982,no
14,55,No,,692.0,,14,4,medical,,3.0,H,61.0,4.0,5.0, research director ,2.0,single,,13339,8,no,11.0,3.0,4.0,,0.0,,3.0,3.0,24.0,,2,15,1968,yes
15,40,No,travel_rarely,1398.0,,2,4,,558.0,3.0,M,79.0,3.0,5.0, manager ,3.0,,18041.0,13022,0,no,14.0,3.0,4.0,,0.0,,2.0,3.0,20.0,,1,12,1983,no
16,58,Yes,travel_rarely,286.0,,2,4,,825.0,4.0,H,31.0,3.0,5.0, research director ,2.0,single,19246.0,25761,7,yes,12.0,3.0,4.0,,0.0,40.0,2.0,3.0,31.0,,13,8,1965,no
17,46,No,travel_rarely,1402.0,,2,3,,,3.0,M,69.0,3.0,4.0, manager ,1.0,,,24097,8,,23.0,4.0,1.0,,0.0,28.0,2.0,3.0,26.0,,15,9,1977,no
18,35,No,,819.0,,13,5,life sciences,,2.0,H,48.0,4.0,2.0, research scientist ,1.0,married,,26312,1,,11.0,3.0,4.0,,0.0,,2.0,3.0,16.0,,1,10,1988,no
19,40,No,travel_rarely,884.0,,15,3,life sciences,,1.0,M,80.0,2.0,3.0, manufacturing director ,3.0,,,25800,1,,13.0,3.0,4.0,,2.0,18.0,2.0,,18.0,,14,12,1983,yes
20,45,No,non-travel,1238.0, research & development ,1,1,,1712.0,3.0,H,74.0,2.0,3.0, healthcare representative ,3.0,,10748.0,3395,3,,23.0,4.0,4.0,,1.0,25.0,3.0,2.0,23.0,,14,4,1978,no
21,33,No,,515.0,,1,2,life sciences,73.0,1.0,M,98.0,3.0,3.0, research director ,4.0,single,,15146,1,yes,12.0,3.0,3.0,,0.0,15.0,1.0,3.0,15.0,,8,12,1990,yes
22,36,No,,1223.0,,8,3,,,3.0,M,59.0,3.0,3.0, healthcare representative ,3.0,divorced,,8202,1,,13.0,,2.0,,3.0,17.0,2.0,3.0,17.0,,12,8,1987,yes
23,47,No,,202.0,,2,2,other,820.0,3.0,M,33.0,3.0,4.0, manager ,4.0,married,16752.0,12982,1,,11.0,3.0,3.0,80.0,1.0,,3.0,2.0,26.0,,3,0,1976,no
24,36,No,travel_rarely,928.0,,42,2,life sciences,,4.0,H,56.0,3.0,2.0, sales executive ,4.0,,6201.0,2823,1,,14.0,3.0,4.0,,1.0,18.0,1.0,,18.0,,4,11,1987,yes
25,35,No,,607.0,,9,3,life sciences,,4.0,M,66.0,2.0,3.0, manufacturing director ,3.0,married,,23457,1,yes,20.0,4.0,2.0,80.0,1.0,17.0,2.0,3.0,17.0,,5,15,1988,no
26,52,Yes,,266.0,,2,1,,,1.0,M,57.0,1.0,5.0, manager ,4.0,married,19845.0,25846,1,no,15.0,3.0,4.0,,1.0,33.0,3.0,3.0,32.0,,6,9,1971,yes
27,36,No,,429.0,,2,4,life sciences,1294.0,3.0,M,53.0,3.0,2.0, manufacturing director ,2.0,single,,2323,9,yes,11.0,3.0,4.0,,0.0,18.0,2.0,3.0,16.0,,5,12,1987,no
28,33,No,travel_rarely,589.0,,28,4,life sciences,,2.0,H,79.0,3.0,2.0, laboratory technician ,3.0,married,,22949,1,,12.0,3.0,2.0,,1.0,15.0,3.0,3.0,15.0,,5,7,1990,yes
29,34,No,non-travel,, sales ,10,3,life sciences,1774.0,4.0,H,87.0,3.0,2.0, sales executive ,3.0,,4001.0,12313,1,yes,14.0,3.0,3.0,,1.0,15.0,3.0,3.0,15.0,,0,7,1989,yes
30,41,No,,, sales ,37,1,,1815.0,3.0,M,81.0,3.0,3.0, sales executive ,3.0,divorced,10447.0,26458,0,,13.0,3.0,4.0,,1.0,,3.0,4.0,22.0,,13,5,1982,yes
31,47,No,,1180.0, research & development ,25,3,medical,1993.0,1.0,H,84.0,3.0,3.0, healthcare representative ,3.0,,,13084,2,,23.0,4.0,2.0,,0.0,25.0,3.0,3.0,17.0,,12,11,1976,yes
32,53,No,travel_rarely,1282.0,,5,3,,32.0,3.0,M,58.0,3.0,5.0, manager ,3.0,,,10735,4,,11.0,3.0,4.0,,1.0,26.0,3.0,2.0,14.0,,4,8,1970,yes
33,35,No,,776.0,,1,4,marketing,100.0,3.0,H,32.0,2.0,2.0, sales executive ,1.0,single,,23016,0,no,14.0,,2.0,80.0,0.0,16.0,2.0,3.0,15.0,,2,8,1988,no
