,Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Stockoptionlevel,Totalworkingyears,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearsincurrentrole,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework,Employee_id
0,no,unknown,684.0,6,3,unknown,162,1,H,51.0,3,5, research director ,3,unknown,6462,7,no,13,3,3,0,0,5,3,20,0,15,15,1972,unknown,162
1,no,unknown,699.0,1,4,life sciences,259,3,H,65.0,2,5, manager ,3,unknown,5678,0,unknown,14,3,1,1,34,5,3,33,0,11,9,1971,yes,259
2,no,travel rarely,532.0,4,2,technical degree,319,3,H,58.0,3,5, manager ,4,married,4933,1,no,11,3,4,0,22,3,0,22,0,11,15,1981,yes,319
3,no,travel rarely,359.0,2,4,medical,0,1,M,82.0,3,4, research director ,3,married,26703,3,unknown,19,3,2,2,0,2,0,20,0,5,6,1976,no,3619
4,no,unknown,1319.0,3,3,technical degree,0,1,M,45.0,4,4, sales executive ,1,divorced,7739,2,no,12,3,4,1,0,5,3,19,0,2,8,1977,no,8389
5,no,unknown,117.0,22,3,medical,1900,4,M,58.0,3,4, manager ,4,unknown,2437,3,no,11,3,2,1,0,3,3,22,0,4,7,1975,unknown,1900
6,no,unknown,1435.0,25,3,life sciences,81,1,M,99.0,3,3, sales executive ,1,unknown,2354,7,unknown,11,3,4,0,28,3,2,21,0,7,9,1964,yes,81
7,no,travel rarely,635.0,1,1,unknown,387,2,H,99.0,3,2, sales executive ,3,married,24532,1,no,25,4,3,0,20,3,3,20,0,11,6,1981,no,387
8,no,unknown,1276.0,2,5,unknown,0,2,M,91.0,3,4, manager ,1,married,5626,7,no,16,3,2,1,22,2,3,18,0,11,8,1982,yes,8979
9,no,travel frequently,840.0,9,3,unknown,999,1,H,64.0,3,5, research director ,3,unknown,3735,2,no,17,3,2,1,21,2,4,18,0,0,11,1982,no,999
10,no,non-travel,247.0,7,1,unknown,1035,2,M,55.0,1,5, research director ,3,unknown,20284,1,no,22,4,2,2,0,3,3,21,0,5,10,1982,no,1035
11,no,travel rarely,1369.0,23,3,life sciences,0,4,H,68.0,3,4, manufacturing director ,2,married,18235,4,yes,12,0,1,1,33,0,3,19,0,15,9,1967,no,19187
12,no,unknown,201.0,10,3,medical,0,2,M,99.0,1,3, research director ,3,married,3376,3,no,12,3,1,1,0,3,3,18,0,1,11,1985,yes,17646
13,yes,travel rarely,1360.0,12,3,unknown,58,2,M,49.0,3,5, research director ,3,married,16280,1,no,12,3,4,0,0,0,3,22,0,15,8,1982,no,58
14,no,unknown,692.0,14,4,medical,0,3,H,61.0,4,5, research director ,2,single,13339,8,no,11,3,4,0,0,3,3,24,0,2,15,1968,yes,14124
15,no,travel rarely,1398.0,2,4,unknown,558,3,M,79.0,3,5, manager ,3,unknown,13022,0,no,14,3,4,0,0,2,3,20,0,1,12,1983,no,558
16,yes,travel rarely,286.0,2,4,unknown,825,4,H,31.0,3,5, research director ,2,single,25761,7,yes,12,3,4,0,40,2,3,31,0,13,8,1965,no,825
17,no,travel rarely,1402.0,2,3,unknown,0,3,M,69.0,3,4, manager ,1,unknown,24097,8,unknown,23,4,1,0,28,2,3,26,0,15,9,1977,no,3674
18,no,unknown,819.0,13,5,life sciences,0,2,H,48.0,4,2, research scientist ,1,married,26312,1,unknown,11,3,4,0,0,2,3,16,0,1,10,1988,no,9727
19,no,travel rarely,884.0,15,3,life sciences,0,1,M,80.0,2,3, manufacturing director ,3,unknown,25800,1,unknown,13,3,4,2,18,2,0,18,0,14,12,1983,yes,2714
20,no,non-travel,1238.0,1,1,unknown,1712,3,H,74.0,2,3, healthcare representative ,3,unknown,3395,3,unknown,23,4,4,1,25,3,2,23,0,14,4,1978,no,1712
21,no,unknown,515.0,1,2,life sciences,73,1,M,98.0,3,3, research director ,4,single,15146,1,yes,12,3,3,0,15,1,3,15,0,8,12,1990,yes,73
22,no,unknown,1223.0,8,3,unknown,0,3,M,59.0,3,3, healthcare representative ,3,divorced,8202,1,unknown,13,0,2,3,17,2,3,17,0,12,8,1987,yes,17699
23,no,unknown,202.0,2,2,other,820,3,M,33.0,3,4, manager ,4,married,12982,1,unknown,11,3,3,1,0,3,2,26,0,3,0,1976,no,820
24,no,travel rarely,928.0,42,2,life sciences,0,42,H,56.0,3,2, sales executive ,4,unknown,2823,1,unknown,14,3,4,1,18,1,0,18,0,4,11,1987,yes,17755
25,no,unknown,607.0,9,3,life sciences,0,4,M,66.0,2,3, manufacturing director ,3,married,23457,1,yes,20,4,2,1,17,2,3,17,0,5,15,1988,no,5541
26,yes,unknown,266.0,2,1,unknown,0,1,M,57.0,1,5, manager ,4,married,25846,1,no,15,3,4,1,33,3,3,32,0,6,9,1971,yes,5349
27,no,unknown,429.0,2,4,life sciences,1294,3,M,53.0,3,2, manufacturing director ,2,single,2323,9,yes,11,3,4,0,18,2,3,16,0,5,12,1987,no,1294
28,no,travel rarely,589.0,28,4,life sciences,0,2,H,79.0,3,2, laboratory technician ,3,married,22949,1,unknown,12,3,2,1,15,3,3,15,0,5,7,1990,unknown,6916
29,no,non-travel,797.0,10,3,life sciences,1774,4,H,87.0,3,2, sales executive ,3,unknown,12313,1,yes,14,3,3,1,15,3,3,15,0,0,7,1989,yes,1774
30,no,unknown,797.0,37,1,unknown,1815,37,M,81.0,3,3, sales executive ,3,divorced,26458,0,unknown,13,3,4,1,0,3,4,22,0,13,5,1982,unknown,1815
31,no,unknown,1180.0,25,3,medical,1993,1,H,84.0,3,3, healthcare representative ,3,unknown,13084,2,unknown,23,4,2,0,25,3,3,17,0,12,11,1976,unknown,1993
32,no,travel rarely,1282.0,5,3,unknown,32,3,M,58.0,3,5, manager ,3,unknown,10735,4,unknown,11,3,4,1,26,3,2,14,0,4,8,1970,unknown,32
33,no,unknown,776.0,1,4,marketing,100,3,H,32.0,2,2, sales executive ,1,single,23016,0,no,14,0,2,0,16,2,3,15,0,2,8,1988,no,100
34,no,travel rarely,665.0,6,4,other,0,1,M,41.0,3,2, research scientist ,3,single,12482,1,unknown,14,3,3,0,16,3,3,16,0,2,10,1989,yes,19092
35,no,travel rarely,526.0,1,2,unknown,244,2,M,92.0,3,3, sales executive ,1,divorced,2137,1,no,25,4,3,3,24,2,3,24,0,15,7,1977,unknown,244
36,no,unknown,1034.0,16,3,unknown,327,4,M,80.0,3,4, manager ,4,married,7744,5,unknown,22,4,3,1,22,3,3,17,0,1,9,1980,yes,327
37,no,unknown,1403.0,6,3,life sciences,373,4,H,47.0,3,1, laboratory technician ,4,married,20251,0,unknown,11,3,3,1,16,4,3,15,0,10,11,1987,yes,373
38,no,travel frequently,1499.0,28,3,unknown,0,3,M,80.0,2,3, sales executive ,1,married,2845,4,no,19,3,4,0,22,5,4,18,13,13,11,1963,yes,12796
39,no,travel frequently,580.0,5,4,unknown,729,4,H,48.0,2,3, sales executive ,1,married,23772,5,yes,21,4,3,1,20,2,3,18,0,1,12,1983,no,729
40,no,travel rarely,859.0,4,3,unknown,830,3,M,98.0,2,2, manufacturing director ,3,married,19124,1,no,12,3,3,1,14,3,3,14,0,6,8,1991,no,830
41,no,travel rarely,263.0,35,3,unknown,0,35,H,59.0,3,1, laboratory technician ,1,single,3119,2,yes,13,0,3,0,20,3,3,18,0,2,17,1982,yes,4960
42,no,unknown,1376.0,2,2,medical,981,3,H,66.0,3,4, manager ,3,divorced,13938,6,no,13,3,3,1,22,3,4,17,0,15,2,1970,no,981
43,yes,travel rarely,885.0,16,4,unknown,1042,3,M,43.0,4,1, laboratory technician ,1,single,8269,1,unknown,16,3,3,0,18,1,3,17,0,15,14,1987,unknown,1042
44,no,unknown,1003.0,8,4,life sciences,1080,4,M,74.0,2,2, research scientist ,1,divorced,21029,8,yes,23,4,1,3,0,2,3,16,0,1,7,1977,no,1080
45,no,travel rarely,1321.0,1,4,unknown,1995,4,H,86.0,3,2, sales executive ,2,married,7636,0,no,15,3,1,2,16,3,0,15,0,5,8,1985,yes,1995
46,no,unknown,797.0,1,4,unknown,145,1,M,30.0,2,3, healthcare representative ,1,single,25796,3,unknown,20,4,3,0,23,1,2,13,0,12,8,1972,yes,145
47,no,unknown,394.0,26,2,unknown,158,3,H,92.0,3,4, manager ,4,married,19494,1,yes,12,3,4,2,25,3,4,25,0,4,12,1980,yes,158
48,no,unknown,1372.0,1,3,life sciences,391,4,M,42.0,3,1, research scientist ,4,single,15881,1,no,12,3,2,0,0,3,3,17,0,5,7,1986,unknown,391
49,no,travel rarely,797.0,8,2,technical degree,436,3,M,65.0,2,2, sales executive ,2,married,24624,1,yes,11,3,4,0,0,2,3,13,12,11,9,1991,yes,436
50,no,unknown,1333.0,1,3,unknown,0,4,M,80.0,3,3, research director ,1,married,16292,1,unknown,13,3,2,1,15,3,3,15,0,5,11,1985,no,15990
51,no,unknown,228.0,3,3,life sciences,1527,3,M,51.0,3,4, manager ,2,unknown,11380,8,no,12,3,4,1,23,2,4,13,0,5,1,1977,unknown,1527
52,yes,travel rarely,737.0,10,3,medical,0,4,H,55.0,2,3, sales executive ,1,married,21530,9,unknown,17,3,3,0,15,3,0,13,0,6,0,1988,no,12818
53,no,unknown,823.0,6,3,medical,1866,1,M,81.0,2,5, manager ,3,married,22539,7,no,13,3,4,0,21,2,3,16,0,6,14,1980,unknown,1866
54,no,non-travel,667.0,1,4,life sciences,2026,3,H,57.0,3,2, healthcare representative ,3,divorced,26236,1,no,21,0,1,1,0,2,2,13,0,1,9,1967,unknown,2026
55,no,non-travel,301.0,15,4,marketing,0,4,H,88.0,1,2, sales executive ,4,divorced,10436,1,no,24,4,1,1,0,4,2,15,0,11,11,1987,yes,17215
56,no,unknown,573.0,6,3,medical,107,2,M,79.0,1,2, research scientist ,4,unknown,15717,7,unknown,12,3,4,3,17,3,3,13,0,1,9,1985,unknown,107
57,no,unknown,797.0,26,4,medical,170,3,M,96.0,3,2, manufacturing director ,1,unknown,5549,1,no,14,3,3,0,16,2,2,15,0,5,11,1974,no,170
58,no,travel rarely,1329.0,4,4,life sciences,0,4,M,47.0,2,2, sales executive ,3,married,14590,4,unknown,14,3,3,1,17,1,4,15,0,5,9,1984,unknown,14792
59,no,unknown,630.0,4,4,unknown,215,3,H,67.0,2,3, sales executive ,4,married,8552,7,no,11,0,1,1,15,2,2,12,0,2,11,1983,unknown,215
60,no,unknown,797.0,5,2,unknown,304,4,H,62.0,3,2, laboratory technician ,2,single,9945,8,no,16,3,4,0,16,3,4,13,0,3,7,1987,yes,304
61,no,unknown,1063.0,25,5,unknown,529,2,M,72.0,3,2, research scientist ,3,married,23866,3,yes,15,3,1,2,15,2,3,13,0,10,7,1986,no,529
62,no,unknown,1017.0,6,4,unknown,691,2,H,82.0,1,2, research scientist ,4,unknown,19368,1,unknown,13,3,2,0,0,3,3,17,0,11,8,1988,unknown,691
63,no,travel frequently,1296.0,6,3,life sciences,692,3,H,66.0,3,2, healthcare representative ,4,divorced,5335,3,no,23,4,3,1,15,2,1,13,0,4,7,1990,no,692
64,no,travel rarely,939.0,24,3,unknown,1005,4,H,66.0,3,4, manufacturing director ,3,married,4161,3,yes,18,3,4,1,22,2,3,12,0,1,5,1973,no,1005
65,no,travel rarely,1355.0,4,4,unknown,1024,3,H,78.0,2,3, healthcare representative ,3,single,22245,7,unknown,14,0,2,0,27,3,3,15,11,4,8,1975,unknown,1024
66,no,travel rarely,1448.0,28,3,unknown,1039,4,M,53.0,4,4, sales executive ,4,married,11737,3,unknown,18,3,3,1,0,2,3,12,0,11,11,1979,yes,1039
67,no,travel rarely,200.0,29,4,unknown,1225,4,H,32.0,3,2, research scientist ,4,single,7744,1,unknown,25,4,2,0,0,3,3,20,0,13,17,1979,unknown,1225
68,no,unknown,1202.0,25,1,unknown,1375,25,M,89.0,4,2, healthcare representative ,3,unknown,13888,5,no,20,4,2,3,15,0,3,12,0,11,8,1983,yes,1375
69,no,travel rarely,404.0,2,4,unknown,0,3,M,98.0,3,2, healthcare representative ,4,single,6163,1,unknown,11,3,4,0,14,2,4,14,0,4,11,1989,yes,16476
70,no,non-travel,208.0,8,4,unknown,0,3,M,52.0,3,2, healthcare representative ,3,unknown,12250,1,unknown,12,3,4,1,0,5,3,14,0,2,9,1988,yes,12945
71,no,unknown,813.0,17,5,life sciences,0,4,M,50.0,2,3, research director ,1,unknown,21981,5,no,15,3,3,3,0,3,3,14,11,1,11,1973,no,3020
72,no,unknown,465.0,6,1,life sciences,1661,3,M,41.0,2,4, healthcare representative ,3,unknown,11652,2,unknown,19,3,2,1,0,3,3,15,0,2,12,1974,unknown,1661
73,no,travel frequently,1189.0,1,3,life sciences,1668,4,H,90.0,3,2, research scientist ,4,unknown,9867,7,no,15,3,4,2,19,4,0,13,0,2,9,1985,yes,1668
74,no,unknown,797.0,21,3,unknown,1698,2,H,79.0,4,1, laboratory technician ,2,unknown,13637,1,no,18,3,4,3,14,6,0,14,0,2,13,1990,yes,1698
75,no,travel rarely,1001.0,4,3,life sciences,0,3,M,92.0,2,3, manufacturing director ,2,divorced,19271,8,yes,12,0,3,1,0,4,3,22,0,14,10,1976,unknown,9565
76,no,unknown,1394.0,8,3,unknown,1937,4,M,58.0,2,2, research scientist ,2,divorced,18115,1,unknown,16,3,3,1,20,3,3,20,0,0,7,1985,no,1937
77,no,travel rarely,161.0,10,3,life sciences,2017,3,M,42.0,4,3, research director ,4,unknown,15471,1,yes,25,4,1,1,16,2,3,16,0,6,8,1986,unknown,2017
78,no,unknown,288.0,2,3,unknown,117,3,H,99.0,2,2, healthcare representative ,4,married,15830,1,no,19,0,1,3,11,3,3,11,0,10,8,1993,unknown,117
79,no,travel rarely,682.0,18,4,unknown,131,4,H,37.0,3,4, sales executive ,3,single,24409,0,unknown,13,3,3,0,38,1,2,37,0,1,8,1965,yes,131
80,no,travel rarely,1354.0,5,3,unknown,153,3,M,45.0,2,3, manager ,1,single,5615,2,unknown,12,3,4,0,14,6,3,11,0,5,8,1989,no,153
81,yes,travel rarely,147.0,23,4,medical,0,4,M,94.0,3,3, healthcare representative ,4,married,3465,1,unknown,12,3,4,1,40,3,2,40,0,15,6,1965,unknown,19776
82,no,unknown,119.0,3,3,life sciences,307,1,H,76.0,3,3, sales executive ,3,divorced,9647,0,unknown,12,3,3,2,0,6,2,16,0,5,13,1985,yes,307
83,no,travel frequently,1413.0,1,1,unknown,0,2,M,42.0,3,3, sales executive ,4,married,6599,1,unknown,14,3,4,1,11,5,3,11,0,4,1,1994,yes,2645
84,no,travel rarely,452.0,1,3,medical,374,4,H,81.0,3,5, manager ,1,single,18938,0,unknown,14,3,3,0,37,2,3,36,0,4,13,1968,yes,374
85,no,unknown,334.0,10,4,unknown,0,4,H,88.0,3,4, manager ,2,unknown,15896,1,unknown,19,3,2,0,0,2,3,22,0,0,4,1982,unknown,11953
86,no,travel rarely,1132.0,1,3,unknown,0,3,H,48.0,4,3, healthcare representative ,4,unknown,10942,0,no,17,0,1,3,19,5,2,18,0,3,7,1984,no,8223
87,no,unknown,797.0,15,2,life sciences,0,3,H,92.0,2,3, research director ,4,unknown,15682,0,unknown,14,3,2,1,0,3,3,11,0,2,9,1985,yes,11381
88,no,unknown,982.0,12,3,unknown,0,1,H,59.0,2,4, research director ,2,unknown,4345,1,no,11,3,3,1,0,3,0,25,0,3,9,1980,yes,10532
89,no,unknown,480.0,30,2,unknown,524,2,M,31.0,3,2, manufacturing director ,1,married,4156,1,no,12,3,2,1,13,5,1,13,0,3,12,1992,unknown,524
90,no,travel rarely,1099.0,27,4,life sciences,569,27,H,88.0,2,4, manager ,3,married,9314,0,no,15,3,2,1,28,2,3,27,0,15,7,1973,yes,569
91,no,unknown,672.0,25,3,technical degree,899,4,H,78.0,2,3, manufacturing director ,2,married,9129,3,no,16,0,1,0,0,2,3,13,0,4,8,1988,no,899
92,no,unknown,1379.0,16,4,unknown,0,3,H,64.0,4,2, manufacturing director ,3,unknown,6759,1,yes,19,3,3,0,20,3,0,19,0,2,7,1976,unknown,11314
93,no,unknown,583.0,25,4,unknown,1014,3,M,57.0,3,3, healthcare representative ,3,divorced,6975,1,yes,11,0,3,1,0,3,2,16,0,10,1,1988,yes,1014
94,no,travel rarely,1492.0,20,4,unknown,0,1,H,61.0,3,3, healthcare representative ,4,married,26542,4,unknown,20,4,4,1,14,6,3,11,0,11,1,1983,yes,8226
95,no,unknown,1050.0,9,4,life sciences,1117,2,M,65.0,2,2, sales executive ,3,married,17970,1,unknown,13,3,4,1,15,2,3,15,0,4,12,1978,no,1117
96,no,unknown,117.0,9,3,medical,1238,1,H,60.0,3,1, research scientist ,4,married,6311,0,unknown,13,3,2,1,15,5,3,14,0,4,10,1990,no,1238
97,no,travel frequently,469.0,3,3,unknown,0,3,H,46.0,3,1, research scientist ,2,married,9256,1,no,12,3,3,0,12,2,2,11,0,0,7,1987,no,12608
98,yes,unknown,797.0,13,3,marketing,1277,1,M,94.0,1,5, manager ,2,unknown,2493,2,yes,16,3,1,0,26,2,3,24,0,1,11,1978,yes,1277
99,no,travel frequently,237.0,27,3,unknown,0,27,H,83.0,3,5, manager ,2,unknown,19196,4,yes,24,0,1,1,0,5,2,29,0,11,10,1972,no,2743
100,no,travel rarely,1440.0,7,2,technical degree,1541,2,H,55.0,3,1, sales representative ,3,unknown,4944,0,yes,25,4,2,1,12,4,3,11,0,5,7,1989,no,1541
101,no,travel rarely,1291.0,15,2,unknown,1666,3,H,65.0,2,4, research director ,3,unknown,3525,1,no,24,4,1,1,0,3,3,14,0,6,11,1980,yes,1666
102,no,unknown,1157.0,5,2,medical,1696,2,H,57.0,2,2, laboratory technician ,4,unknown,11912,1,no,14,3,3,1,0,3,0,15,0,4,13,1989,no,1696
103,no,unknown,1336.0,2,3,unknown,1805,1,H,100.0,3,1, human resources ,2,divorced,7129,5,no,13,3,4,3,13,3,3,11,0,3,8,1985,yes,1805
104,no,unknown,1224.0,10,3,unknown,0,4,H,91.0,2,5, research director ,2,unknown,13583,4,no,12,3,4,0,29,3,3,22,0,12,9,1975,no,6965
105,no,unknown,735.0,22,4,other,1932,3,H,86.0,2,2, research scientist ,4,married,26496,1,yes,15,3,2,0,16,3,3,15,0,6,11,1989,no,1932
106,no,travel rarely,797.0,31,4,unknown,2016,31,M,48.0,3,3, sales executive ,4,unknown,24032,1,no,19,3,3,2,14,3,3,14,0,5,7,1991,unknown,2016
107,no,travel rarely,1389.0,21,4,life sciences,20,2,M,51.0,4,3, manufacturing director ,1,divorced,10195,1,no,11,3,3,1,10,1,3,10,0,8,8,1994,no,20
108,no,unknown,638.0,1,3,medical,0,3,H,40.0,2,3, healthcare representative ,1,married,3142,2,yes,13,3,3,1,21,5,2,10,0,9,5,1977,no,8672
109,no,unknown,1240.0,9,3,unknown,184,3,H,48.0,3,2, human resources ,4,married,13982,0,yes,19,3,4,0,0,2,1,11,0,4,7,1993,no,184
110,no,unknown,194.0,9,3,life sciences,206,2,H,60.0,3,2, laboratory technician ,2,unknown,10901,8,no,18,3,3,1,20,2,0,17,0,0,15,1978,unknown,206
111,no,travel rarely,1339.0,5,3,unknown,228,2,M,41.0,3,3, sales executive ,4,unknown,8053,2,no,12,3,3,1,0,2,3,10,0,7,4,1993,yes,228
112,no,unknown,111.0,9,3,unknown,239,3,H,66.0,3,2, laboratory technician ,1,unknown,11012,1,no,11,0,3,2,12,4,3,12,0,6,10,1993,unknown,239
113,no,travel frequently,797.0,29,1,unknown,256,4,H,45.0,2,2, manufacturing director ,3,married,14074,1,unknown,17,3,3,0,10,2,2,10,0,1,9,1989,no,256
114,no,travel rarely,1469.0,8,4,life sciences,0,2,H,81.0,2,3, research director ,2,married,15736,5,no,16,3,4,2,16,5,1,10,0,4,7,1972,no,9667
115,no,unknown,470.0,39,4,life sciences,339,39,H,84.0,2,2, manufacturing director ,1,unknown,23687,6,unknown,13,3,2,1,13,3,3,11,0,5,9,1989,yes,339
116,no,travel rarely,1232.0,16,3,unknown,406,3,H,96.0,3,3, sales executive ,2,married,5100,0,unknown,15,3,3,2,12,3,2,11,0,6,9,1988,yes,406
117,no,travel frequently,1249.0,7,3,life sciences,0,1,H,97.0,3,3, laboratory technician ,1,unknown,20308,1,unknown,18,3,1,1,24,2,3,24,0,9,11,1978,unknown,10812
118,no,unknown,117.0,10,1,unknown,429,3,H,99.0,3,4, manager ,1,married,5355,1,unknown,14,0,4,0,21,3,3,21,0,11,10,1984,unknown,429
119,no,unknown,798.0,7,2,unknown,0,3,M,48.0,2,3, manufacturing director ,3,married,14034,1,no,24,4,1,1,10,2,3,10,0,8,9,1992,no,884
120,no,unknown,672.0,7,2,unknown,444,3,H,54.0,2,5, manager ,4,married,21141,1,unknown,15,3,1,1,0,2,3,21,0,13,3,1984,yes,444
