,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
0,51,no,,"684,0$",,6,3,,1,"162,0",1,0,51,3,5, research director ,3,,"19537,0",6462,7,y,no,13,"3,0",3,,0,,5,"3,0",20,,15,15,"19537,0",1972,1000000000$,,,yes
1,52,no,,"699,0$",,1,4,life sciences,1,"259,0",3,0,65,2,5, manager ,3,,"19999,0",5678,0,,,14,"3,0",1,,1,"34,0",5,"3,0",33,,11,9,"19999,0",1971,1000000000$,,,1
2,42,no,travel_rarely,"532,0$", research & development ,4,2,technical degree,1,"319,0",3,0,58,3,5, manager ,4,married,"19232,0",4933,1,,no,11,"3,0",4,,0,"22,0",3,,22,,11,15,"19232,0",1981,1000000000$, manager  -  research & development ,,1
3,47,no,travel_rarely,"359,0$",,2,4,medical,1,,1,1,82,3,4, research director ,3,married,"17169,0",26703,3,y,,19,"3,0",2,,2,,2,,20,,5,6,"17169,0",1976,1000000000$,,,false
4,46,no,,"1319,0$",,3,3,technical degree,1,,1,1,45,4,4, sales executive ,1,divorced,,7739,2,y,no,12,"3,0",4,,1,,5,"3,0",19,,2,8,,1977,1000000000$,,,0
5,48,no,,"117,0$", research & development ,22,3,medical,1,"1900,0",4,1,58,3,4, manager ,4,,"17174,0",2437,3,,no,11,"3,0",2,,1,,3,"3,0",22,,4,7,"17174,0",1975,1000000000$, manager  -  research & development ,,yes
6,59,no,,"1435,0$",,25,3,life sciences,1,"81,0",1,1,99,3,3, sales executive ,1,,,2354,7,y,,11,"3,0",4,,0,"28,0",3,"2,0",21,,7,9,,1964,1000000000$,,,true
7,42,no,travel_rarely,"635,0$",,1,1,,1,"387,0",2,0,99,3,2, sales executive ,3,married,,24532,1,,no,25,"4,0",3,,0,"20,0",3,"3,0",20,,11,6,,1981,1000000000$,,,0
8,41,no,,"1276,0$",,2,5,,1,,2,1,91,3,4, manager ,1,married,"16595,0",5626,7,,no,16,"3,0",2,,1,"22,0",2,"3,0",18,,11,8,"16595,0",1982,1000000000$,,,true
9,41,no,travel_frequently,"840,0$",,9,3,,1,"999,0",1,0,64,3,5, research director ,3,,,3735,2,,no,17,"3,0",2,,1,"21,0",2,"4,0",18,,0,11,,1982,1000000000$,,,0
