,Age,Attrition,Businesstravel,Dailyrate,Distancefromhome,Education,Educationfield,Employeenumber,Environmentsatisfaction,Gender,Hourlyrate,Jobinvolvement,Joblevel,Jobrole,Jobsatisfaction,Maritalstatus,Monthlyrate,Numcompaniesworked,Overtime,Percentsalaryhike,Performancerating,Relationshipsatisfaction,Stockoptionlevel,Totalworkingyears,Trainingtimeslastyear,Worklifebalance,Yearsatcompany,Yearssincelastpromotion,Yearswithcurrmanager,Datebirth,Remotework
0,51,No,travel_rarely,684.0,6,3,unknown,162.0,1.0,H,51.0,3.0,5.0, research director ,3.0,unknown,6462,7,no,13.0,3.0,3.0,0.0,,5.0,3.0,20.0,15,15,1972,yes
1,52,No,travel_rarely,699.0,1,4,life sciences,259.0,3.0,H,65.0,2.0,5.0, manager ,3.0,unknown,5678,0,no,14.0,3.0,1.0,1.0,34.0,5.0,3.0,33.0,11,9,1971,yes
2,42,No,travel_rarely,532.0,4,2,technical degree,319.0,3.0,H,58.0,3.0,5.0, manager ,4.0,married,4933,1,no,11.0,3.0,4.0,0.0,22.0,3.0,3.0,22.0,11,15,1981,yes
3,47,No,travel_rarely,359.0,2,4,medical,,1.0,M,82.0,3.0,4.0, research director ,3.0,married,26703,3,no,19.0,3.0,2.0,2.0,,2.0,3.0,20.0,5,6,1976,no
4,46,No,travel_rarely,1319.0,3,3,technical degree,,1.0,M,45.0,4.0,4.0, sales executive ,1.0,divorced,7739,2,no,12.0,3.0,4.0,1.0,,5.0,3.0,19.0,2,8,1977,no
5,48,No,travel_rarely,117.0,22,3,medical,1900.0,4.0,M,58.0,3.0,4.0, manager ,4.0,unknown,2437,3,no,11.0,3.0,2.0,1.0,,3.0,3.0,22.0,4,7,1975,yes
6,59,No,travel_rarely,1435.0,25,3,life sciences,81.0,1.0,M,99.0,3.0,3.0, sales executive ,1.0,unknown,2354,7,no,11.0,3.0,4.0,0.0,28.0,3.0,2.0,21.0,7,9,1964,yes
7,42,No,travel_rarely,635.0,1,1,unknown,387.0,2.0,H,99.0,3.0,2.0, sales executive ,3.0,married,24532,1,no,25.0,4.0,3.0,0.0,20.0,3.0,3.0,20.0,11,6,1981,no
8,41,No,travel_rarely,1276.0,2,5,unknown,,2.0,M,91.0,3.0,4.0, manager ,1.0,married,5626,7,no,16.0,3.0,2.0,1.0,22.0,2.0,3.0,18.0,11,8,1982,yes
9,41,No,travel_frequently,840.0,9,3,unknown,999.0,1.0,H,64.0,3.0,5.0, research director ,3.0,unknown,3735,2,no,17.0,3.0,2.0,1.0,21.0,2.0,4.0,18.0,0,11,1982,no
10,41,No,non-travel,247.0,7,1,unknown,1035.0,2.0,M,55.0,1.0,5.0, research director ,3.0,unknown,20284,1,no,22.0,4.0,2.0,2.0,,3.0,3.0,21.0,5,10,1982,no
11,56,No,travel_rarely,1369.0,23,3,life sciences,,4.0,H,68.0,3.0,4.0, manufacturing director ,2.0,married,18235,4,yes,12.0,3.0,1.0,1.0,33.0,0.0,3.0,19.0,15,9,1967,no
12,38,No,travel_rarely,201.0,10,3,medical,,2.0,M,99.0,1.0,3.0, research director ,3.0,married,3376,3,no,12.0,3.0,1.0,1.0,,3.0,3.0,18.0,1,11,1985,yes
13,41,Yes,travel_rarely,1360.0,12,3,unknown,58.0,2.0,M,49.0,3.0,5.0, research director ,3.0,married,16280,1,no,12.0,3.0,4.0,0.0,,0.0,3.0,22.0,15,8,1982,no
14,55,No,travel_rarely,692.0,14,4,medical,,3.0,H,61.0,4.0,5.0, research director ,2.0,single,13339,8,no,11.0,3.0,4.0,0.0,,3.0,3.0,24.0,2,15,1968,yes
15,40,No,travel_rarely,1398.0,2,4,unknown,558.0,3.0,M,79.0,3.0,5.0, manager ,3.0,unknown,13022,0,no,14.0,3.0,4.0,0.0,,2.0,3.0,20.0,1,12,1983,no
